"request-date","order-id","order-type","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW105_B","B09W9TW8VM","Unsellable","1","0",,"0","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW104_B","B09W9VWZD3","Unsellable","5","0",,"1","4",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_10B","B09XRB7YWH","Unsellable","3","0",,"3","0",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_SILICONE_BOWL_PURPLE_325","B0B7461K5M","Unsellable","7","0",,"2","5",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_SILICONE_BOWL_BLACK_3252","B0B746WPCL","Unsellable","3","0",,"1","2",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_SILICONE_BOWL_MAGENTA_3253","B0B74924ZM","Unsellable","3","1",,"0","2",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_SILICONE_BOWL_LIGHTPINK_3254","B0B74K4W4N","Unsellable","1","0",,"0","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_SILICONE_BOWL_WHITE_3251","B0B74Q83P6","Unsellable","5","0",,"1","4",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","P2-SC1T-VJWH","X001R8JED9","Unsellable","1","0",,"0","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","64-PL86-N2UI","X001RTSHTF","Unsellable","8","0",,"5","3",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","08-5NRZ-N0UJ","X001SCYETD","Unsellable","1","0",,"0","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","VF-XDS1-1UU6","X001SFALB5","Unsellable","4","0",,"0","4",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","CJ-7BTH-4JGY","X0029LXG5F","Unsellable","9","0",,"8","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","YP-MYS1-S2J6","X002E4H2OD","Unsellable","2","0",,"2","0",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","10-mm-2-pieces","X002KJ2Q4X","Unsellable","2","0",,"1","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","26 pc-rack","X002U00ZTP","Unsellable","2","0",,"1","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","15/16 New","X002WERVP5","Unsellable","1","0",,"1","0",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","7/8 mm New","X002WERWWR","Unsellable","1","0",,"0","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","22 mm New","X002WERWXB","Unsellable","1","0",,"1","0",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","9/16 New","X002WEVCHD","Unsellable","1","0",,"1","0",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","18 mm New","X002WEX5AP","Unsellable","1","0",,"1","0",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","1 1/8 New","X002WEYRVB","Unsellable","1","0",,"0","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","26 pc inch mm","X002WWOONJ","Unsellable","1","0",,"0","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_ELEMEN_BLUE","X003AKRRZJ","Unsellable","3","0",,"2","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_ELEMEN_GREEN","X003AKRRZT","Unsellable","3","0",,"2","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_ELEMEN_PINK","X003AKRS03","Unsellable","4","0",,"3","1",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_BLACK_PRIDE","X003AKSK7X","Unsellable","9","0",,"0","9",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_GRAD_PURPLE+ PINK","X003AKSK87","Unsellable","2","0",,"0","2",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_LOTUS_GREY","X003AKSK8H","Unsellable","3","0",,"0","3",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_LOTUS_GREEN","X003AKSK8R","Unsellable","2","0",,"0","2",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_PASTEL_PURPLE","X003AKUUQR","Unsellable","2","0",,"0","2",,
"2023-04-05T18:01:19-07:00","wpustWnkYU","Return","Pending","2023-04-06T02:02:45-07:00","TW_GRAD_BLUE+ PURPLE","X003AKUURB","Unsellable","1","0",,"0","1",,
